first_seen	node_name	fuse_first	n_ids_first	rows
393	attn_post_norm-15.dst	2	4	4
394	ffn_moe_logits_raw-15.dst	1	4	4
395	ffn_moe_gate-15.dst	1	4	4
396	ffn_moe_up-15.dst	1	4	4
397	ffn_gate-15.dst	1	4	4
398	ffn_up-15.dst	1	4	4
399	shared_expert_gate-15.dst	1	2	4
400	ffn_moe_down-15.dst	1	4	4
401	ffn_shexp-15.dst	1	4	4
402	ffn_shexp_gated-15.dst	1	4	4
403	ffn_moe_weights_norm-15.dst	1	4	4
404	ffn_moe_weighted-15.dst	1	4	4
405	ffn_moe_out-15.dst	7	4	4
406	l_out-15.dst	2	4	4
407	attn_norm-16.dst	2	4	4
408	node_1549.dst	1	4	4
409	node_1570.dst	1	4	4
410	node_1576.dst	1	4	4
411	node_1572.dst	1	4	4
412	z-16.dst	1	4	4
413	gate-16.dst	1	4	4
414	node_1586.dst	1	4	4
415	node_1590.dst	1	4	4
416	linear_attn_out-16.dst	1	4	4
417	attn_residual-16.dst	1	4	4
418	attn_post_norm-16.dst	2	4	4
419	ffn_moe_logits_raw-16.dst	1	4	4
420	norm-16.dst	1	4	4
421	ffn_moe_gate-16.dst	1	4	4
422	ffn_moe_up-16.dst	1	4	4
423	ffn_gate-16.dst	1	4	4
424	ffn_up-16.dst	1	4	4
425	shared_expert_gate-16.dst	1	2	4
426	ffn_moe_down-16.dst	1	4	4
427	ffn_shexp-16.dst	1	4	4
428	ffn_shexp_gated-16.dst	1	4	4
429	ffn_moe_weights_norm-16.dst	1	4	4
430	ffn_moe_weighted-16.dst	1	4	4
431	ffn_moe_out-16.dst	7	4	4
432	l_out-16.dst	2	4	4
433	attn_norm-17.dst	2	4	4
434	node_1648.dst	1	4	4
435	node_1669.dst	1	4	4
436	node_1675.dst	1	4	4
437	node_1671.dst	1	4	4
438	z-17.dst	1	4	3
439	gate-17.dst	1	4	4
440	norm-17.dst	1	4	4
441	attn_residual-17.dst	1	4	4
442	attn_post_norm-17.dst	2	4	4
443	ffn_moe_logits_raw-17.dst	1	4	4
444	node_1685.dst	1	4	4
445	node_1689.dst	1	4	4
446	linear_attn_out-17.dst	1	4	4
447	ffn_moe_gate-17.dst	1	4	4
448	ffn_moe_up-17.dst	1	4	4
449	ffn_gate-17.dst	1	4	4
450	ffn_up-17.dst	1	4	4
451	shared_expert_gate-17.dst	1	2	4
452	ffn_moe_down-17.dst	1	4	4
453	ffn_shexp-17.dst	1	4	4
454	ffn_shexp_gated-17.dst	1	4	4
455	ffn_moe_weights_norm-17.dst	1	4	4
456	ffn_moe_weighted-17.dst	1	4	4
457	ffn_moe_out-17.dst	7	4	4
458	l_out-17.dst	2	4	4
459	attn_norm-18.dst	2	4	4
460	node_1747.dst	1	4	4
461	node_1768.dst	1	4	4
462	node_1774.dst	1	4	4
463	node_1770.dst	1	4	4
464	gate-18.dst	1	4	4
465	node_1784.dst	1	4	4
466	z-18.dst	1	4	4
467	attn_residual-18.dst	1	4	4
468	norm-18.dst	1	4	4
469	node_1788.dst	1	4	4
470	attn_post_norm-18.dst	2	4	4
471	ffn_moe_logits_raw-18.dst	1	4	4
472	linear_attn_out-18.dst	1	4	4
473	ffn_moe_gate-18.dst	1	4	4
